scope,mmd_raw_vs_decoded,r2_means,dist_spearman,mean_recon_l2,mean_joint_shift,ari_leiden,nmi_leiden
all,0.07551987476396885,0.9922674424510026,0.9334041008147395,13.64238166809082,9.452898979187012,0.7386665173425456,0.7553740029499806
human,0.08017236326349153,0.9923615707590212,0.8612390437608383,14.162607192993164,4.1043500900268555,,
mouse,0.15404610833058557,0.9837595475652615,0.3915582601554847,13.119297981262207,14.83083438873291,,
