group	group_label	model	r2_means	r2_stds	l2_means	l2_stds	mmd	enrichment_k50
A	CD8 only	IMPACT	0.6852754967512938	0.30030571133864276	0.745649516582489	2.709022617340088	0.07967551247712892	0.9916599999999999
A	CD8 only	CellOT	0.6239041422329192	0.26067548457507744	0.8045208096504212	2.8304711103439333	0.1089806124284646	0.99878
B	CD8 (no thymo)	IMPACT	0.673632739213687	0.2985640754951109	0.7431939661502838	2.703040885925293	0.07278550126533842	0.9881599999999999
B	CD8 (no thymo)	CellOT	0.558052300242679	0.2400652496854034	0.8832904756069183	2.8816034317016603	0.1127344217768392	0.99816
C	T cell subtypes	IMPACT	0.6405239770123454	0.2589225185741974	0.934641981124878	3.2419984579086303	0.05827529407987486	0.977228
C	T cell subtypes	CellOT	0.5073151613352193	0.22463912450341225	1.3043054819107056	3.3839762449264525	0.052519380783251066	0.9688559999999999
D	CD4 only	IMPACT	0.5971223099825617	0.292520493735638	0.7674142181873321	2.641773724555969	0.08167694233984384	0.958975
D	CD4 only	CellOT	0.5719801941172659	0.2402742978873145	0.7840626001358032	2.809427046775818	0.12089916616173269	0.982225
