group_label	model	r2_means_stale	r2_means_renorm	r2_means_delta	r2_stds_stale	r2_stds_renorm	r2_stds_delta	mmd_stale	mmd_renorm	mmd_delta
CD8 only	IMPACT	0.6852754967512938	0.7754137801730888	0.09013828342179497	0.30030571133864276	0.5370544118484613	0.2367487005098185	0.07967551247712892	0.06046972841316911	-0.019205784063959813
CD8 only	CellOT	0.6239041422329192	0.7298440262871664	0.10593988405424715	0.26067548457507744	0.03161453119453733	-0.2290609533805401	0.1089806124284646	0.08594111188723241	-0.02303950054123219
CD8 (no thymo)	IMPACT	0.673632739213687	0.7465794974243875	0.0729467582107004	0.2985640754951109	0.27798991991658734	-0.020574155578523545	0.07278550126533842	0.05697934090507321	-0.015806160360265213
CD8 (no thymo)	CellOT	0.558052300242679	0.6908579803218385	0.1328056800791595	0.2400652496854034	0.24196143085916103	0.0018961811737576162	0.1127344217768392	0.06857095773957553	-0.04416346403726368
T cell subtypes	IMPACT	0.6405239770123454	0.6656037476186935	0.02507977060634803	0.2589225185741974	0.46125999960963243	0.20233748103543503	0.05827529407987486	0.06773386091123927	0.00945856683136441
T cell subtypes	CellOT	0.5073151613352193	0.48407005249431795	-0.023245108840901307	0.22463912450341225	0.09935734708193046	-0.12528177742148178	0.052519380783251066	0.07392441297015885	0.021405032186907785
CD4 only	IMPACT	0.5971223099825617	0.8157199035203857	0.21859759353782404	0.292520493735638	0.6186992772679811	0.32617878353234314	0.08167694233984384	0.044189248294448064	-0.03748769404539577
CD4 only	CellOT	0.5719801941172659	0.7693712736935627	0.19739107957629687	0.2402742978873145	0.49553123160202245	0.2552569337147079	0.12089916616173269	0.05677459252588507	-0.06412457363584761
