run_family	group	group_label	model	r2_means	r2_stds	l2_means	l2_stds	mmd	enrichment_k50
stale	A	CD8 only	IMPACT	0.6852754967512938	0.30030571133864276	0.745649516582489	2.709022617340088	0.07967551247712892	0.9916599999999999
stale	A	CD8 only	CellOT	0.6239041422329192	0.26067548457507744	0.8045208096504212	2.8304711103439333	0.1089806124284646	0.99878
stale	B	CD8 (no thymo)	IMPACT	0.673632739213687	0.2985640754951109	0.7431939661502838	2.703040885925293	0.07278550126533842	0.9881599999999999
stale	B	CD8 (no thymo)	CellOT	0.558052300242679	0.2400652496854034	0.8832904756069183	2.8816034317016603	0.1127344217768392	0.99816
stale	C	T cell subtypes	IMPACT	0.6405239770123454	0.2589225185741974	0.934641981124878	3.2419984579086303	0.05827529407987486	0.977228
stale	C	T cell subtypes	CellOT	0.5073151613352193	0.22463912450341225	1.3043054819107056	3.3839762449264525	0.052519380783251066	0.9688559999999999
stale	D	CD4 only	IMPACT	0.5971223099825617	0.292520493735638	0.7674142181873321	2.641773724555969	0.08167694233984384	0.958975
stale	D	CD4 only	CellOT	0.5719801941172659	0.2402742978873145	0.7840626001358032	2.809427046775818	0.12089916616173269	0.982225
renorm	A	CD8 only	IMPACT	0.7754137801730888	0.5370544118484613	4.1282099962234495	1.598206388950348	0.06046972841316911	0.64558
renorm	A	CD8 only	CellOT	0.7298440262871664	0.03161453119453733	5.601296424865723	6.536018133163452	0.08594111188723241	0.6376799999999999
renorm	B	CD8 (no thymo)	IMPACT	0.7465794974243875	0.27798991991658734	4.133973884582519	1.529892587661743	0.05697934090507321	0.6386799999999999
renorm	B	CD8 (no thymo)	CellOT	0.6908579803218385	0.24196143085916103	4.802797555923462	2.2711140394210814	0.06857095773957553	0.5871000000000001
renorm	C	T cell subtypes	IMPACT	0.6656037476186935	0.46125999960963243	4.370043039321899	1.6411406517028808	0.06773386091123927	0.821152
renorm	C	T cell subtypes	CellOT	0.48407005249431795	0.09935734708193046	8.050508832931518	7.0183741569519045	0.07392441297015885	0.912428
renorm	D	CD4 only	IMPACT	0.8157199035203857	0.6186992772679811	3.200576066970825	1.287247323989868	0.044189248294448064	0.553425
renorm	D	CD4 only	CellOT	0.7693712736935627	0.49553123160202245	3.9180386066436768	1.395853626728058	0.05677459252588507	0.643725
