holdout,model,setting,r_mean_all_genes,r_mean_all_genes_sd,r_mean_50_markers,r_mean_50_markers_sd,mmd_50_markers,mmd_50_markers_sd,frac_gap_closed,mmd_floor,mmd_ceiling
rat,CellOT,ood,0.7929023617490263,0.0009389507212455778,0.6364173474846467,0.0025446672907836858,0.27286462183328597,0.0026420712393852848,0.0683649719605136,0.0014370910539814,0.2914604777607323
rat,CellOT,iid,0.9888685230939798,0.0007227585976313103,0.9918567880806005,0.0013328723500990874,0.009159820995173809,0.0003878497379190237,0.0683649719605136,0.0014370910539814,0.2914604777607323
rat,scGen,ood,0.7144919400886701,0.0014533075227263611,0.6657646265929633,0.002697340304018933,0.2560849115805156,0.0016682080410085076,0.1243648100699668,0.0014370910539814,0.2914604777607323
rat,scGen,iid,0.9670853513990447,0.00041992731454522044,0.9719394051150456,0.002474817338729222,0.042582707311234716,0.0008227753699063165,0.1243648100699668,0.0014370910539814,0.2914604777607323
mouse,CellOT,ood,0.8981026920838149,0.0009431436327433418,0.6740823924057489,0.002150913863594178,0.20626991451690063,0.001777099203807776,0.3081989677601014,0.0015295062474343,0.2961672307163322
mouse,CellOT,iid,0.9811993428601713,0.0009206210401173816,0.992028206922878,0.0019501960966646838,0.00839988572770874,0.00047142527816107217,0.3081989677601014,0.0015295062474343,0.2961672307163322
mouse,scGen,ood,0.7003595903234173,0.00144648607130184,0.7608282334021285,0.0017971719878464908,0.21210240803348523,0.002131169978267674,0.2816122750556765,0.0015295062474343,0.2961672307163322
mouse,scGen,iid,0.9731194721721839,0.00026774835735918695,0.9792429589283034,0.0010963868113706152,0.035005754520838664,0.0005431800735761715,0.2816122750556765,0.0015295062474343,0.2961672307163322
