holdout,model,r_mean_all_genes,r_mean_all_genes_sd,metric,value,sd,mmd_50_markers,mmd_50_markers_sd
rat,CellOT,0.7929023617490263,0.0009389507212455778,r feature means (all genes),0.7929023617490263,0.0009389507212455778,,
rat,scGen,0.7144919400886701,0.0014533075227263611,r feature means (all genes),0.7144919400886701,0.0014533075227263611,,
mouse,CellOT,0.8981026920838149,0.0009431436327433418,r feature means (all genes),0.8981026920838149,0.0009431436327433418,,
mouse,scGen,0.7003595903234173,0.00144648607130184,r feature means (all genes),0.7003595903234173,0.00144648607130184,,
rat,CellOT,,,MMD (50 markers),0.27286462183328597,0.0026420712393852848,0.27286462183328597,0.0026420712393852848
rat,scGen,,,MMD (50 markers),0.2560849115805156,0.0016682080410085076,0.2560849115805156,0.0016682080410085076
mouse,CellOT,,,MMD (50 markers),0.20626991451690063,0.001777099203807776,0.20626991451690063,0.001777099203807776
mouse,scGen,,,MMD (50 markers),0.21210240803348523,0.002131169978267674,0.21210240803348523,0.002131169978267674
