dataset,n_human_ood,n_smartseq2,pct_smartseq2,n_umap_edge,pct_umap_edge,mean_knn1_pca_dist,median_umap_dist
m1_v07,207,28,13.5,31,15.0,6.583,1.16
m1_v08,183,0,0.0,28,15.3,6.303,0.746
